
2024/09/03 (04:13:48) | ERROR: Invalid hex value:  Main text color

2024/09/03 (04:33:17) | ===> btop++ v.1.3.2
2024/09/03 (04:33:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (04:33:17) | ERROR: Invalid hex value:  Main text color

2024/09/04 (09:16:00) | ===> btop++ v.1.3.2
2024/09/04 (09:16:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/04 (09:16:00) | ERROR: Invalid hex value:  Main text color

2024/09/04 (10:17:33) | ===> btop++ v.1.3.2
2024/09/04 (10:17:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/04 (10:17:33) | ERROR: Invalid hex value:  Main text color

2024/09/04 (19:11:24) | ===> btop++ v.1.3.2
2024/09/04 (19:11:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/04 (19:11:24) | ERROR: Invalid hex value:  Main text color

2024/09/05 (12:44:55) | ===> btop++ v.1.3.2
2024/09/05 (12:44:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (12:44:55) | ERROR: Invalid hex value:  Main text color

2024/09/06 (23:22:16) | ===> btop++ v.1.3.2
2024/09/06 (23:22:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (23:22:16) | ERROR: Invalid hex value:  Main text color

2024/09/06 (23:23:47) | ===> btop++ v.1.3.2
2024/09/06 (23:23:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (23:24:05) | ===> btop++ v.1.3.2
2024/09/06 (23:24:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/06 (23:24:15) | ===> btop++ v.1.3.2
2024/09/06 (23:24:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (00:05:35) | ===> btop++ v.1.3.2
2024/09/07 (00:05:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (02:31:16) | ===> btop++ v.1.3.2
2024/09/07 (02:31:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (02:59:18) | ===> btop++ v.1.3.2
2024/09/07 (02:59:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (03:04:29) | ===> btop++ v.1.3.2
2024/09/07 (03:04:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (03:04:46) | ===> btop++ v.1.3.2
2024/09/07 (03:04:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (03:23:14) | ===> btop++ v.1.3.2
2024/09/07 (03:23:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (10:50:13) | ===> btop++ v.1.3.2
2024/09/07 (10:50:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (10:53:12) | ===> btop++ v.1.3.2
2024/09/07 (10:53:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (11:07:36) | ===> btop++ v.1.3.2
2024/09/07 (11:07:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (15:58:57) | ===> btop++ v.1.3.2
2024/09/07 (15:58:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (16:03:49) | ===> btop++ v.1.3.2
2024/09/07 (16:03:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (15:12:47) | ===> btop++ v.1.3.2
2024/09/08 (15:12:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (22:53:59) | ===> btop++ v.1.3.2
2024/09/08 (22:53:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (23:07:13) | ===> btop++ v.1.3.2
2024/09/08 (23:07:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (23:49:44) | ===> btop++ v.1.3.2
2024/09/08 (23:49:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (19:50:17) | ===> btop++ v.1.3.2
2024/09/09 (19:50:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/10 (01:18:54) | ===> btop++ v.1.3.2
2024/09/10 (01:18:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/10 (02:35:40) | ===> btop++ v.1.3.2
2024/09/10 (02:35:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (10:47:09) | ===> btop++ v.1.3.2
2024/09/16 (10:47:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (11:29:26) | ===> btop++ v.1.3.2
2024/09/16 (11:29:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (11:29:33) | ===> btop++ v.1.3.2
2024/09/16 (11:29:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (18:39:08) | ===> btop++ v.1.4.0
2024/09/26 (18:39:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/26 (18:39:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (16:12:02) | ===> btop++ v.1.4.0
2024/09/27 (16:12:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (16:12:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (21:44:19) | ===> btop++ v.1.4.0
2024/09/28 (21:44:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (21:44:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (01:39:39) | ===> btop++ v.1.4.0
2024/10/01 (01:39:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (01:39:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (01:40:47) | ===> btop++ v.1.4.0
2024/10/01 (01:40:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (01:40:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (01:43:05) | ===> btop++ v.1.4.0
2024/10/01 (01:43:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (01:43:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (11:00:47) | ===> btop++ v.1.4.0
2024/10/03 (11:00:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (11:00:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (11:58:38) | ===> btop++ v.1.4.0
2024/10/03 (11:58:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (11:58:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (12:27:30) | ===> btop++ v.1.4.0
2024/10/03 (12:27:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (12:27:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:22:43) | ===> btop++ v.1.4.0
2024/10/04 (20:22:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (20:22:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (22:21:24) | ===> btop++ v.1.4.0
2024/10/04 (22:21:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (22:21:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (22:21:46) | ===> btop++ v.1.4.0
2024/10/04 (22:21:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (22:21:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (22:21:53) | ===> btop++ v.1.4.0
2024/10/04 (22:21:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (22:21:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (22:22:13) | ===> btop++ v.1.4.0
2024/10/04 (22:22:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (22:22:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (01:43:25) | ===> btop++ v.1.4.0
2024/10/05 (01:43:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (01:43:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (02:10:00) | ===> btop++ v.1.4.0
2024/10/05 (02:10:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (02:10:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (02:16:12) | ===> btop++ v.1.4.0
2024/10/05 (02:16:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (02:16:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (02:36:19) | ===> btop++ v.1.4.0
2024/10/05 (02:36:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (02:36:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (14:23:04) | ===> btop++ v.1.4.0
2024/10/05 (14:23:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (14:23:04) | WARNING: Intel GPU: Failed to initialize PMU
